Country,Code,Population (2021)
Austria,AUT,8922086
Belgium,BEL,11611416
Bulgaria,BGR,6885864
Croatia,HRV,4060139
Cyprus,CYP,1244193
Czechia,CZE,10510748
Denmark,DNK,5854246
Estonia,EST,1328704
Finland,FIN,5535982
France,FRA,64531448
Germany,DEU,83408560
Greece,GRC,10445368
Hungary,HUN,9709784
Ireland,IRL,4986525
Italy,ITA,59240336
Latvia,LVA,1873926
Lithuania,LTU,2786652
Luxembourg,LUX,639330
Malta,MLT,526751
Netherlands,NLD,17501696
Poland,POL,38307724
Portugal,PRT,10290109
Romania,ROU,19328558
Slovakia,SVK,5447621
Slovenia,SVN,2119408
Spain,ESP,47486932
Sweden,SWE,10467095
