Period,Value
Q1-2007,92.4
Q2-2007,92.9
Q3-2007,93.2
Q4-2007,93.6
Q1-2008,93.7
Q2-2008,93.8
Q3-2008,93.1
Q4-2008,91.2
Q1-2009,89.1
Q2-2009,89.2
Q3-2009,89.4
Q4-2009,90.3
Q1-2010,90.8
Q2-2010,91.8
Q3-2010,92.6
Q4-2010,93
Q1-2011,93.1
Q2-2011,93.3
Q3-2011,93.8
Q4-2011,94.2
Q1-2012,94.8
Q2-2012,94.9
Q3-2012,95
Q4-2012,94.9
Q1-2013,95.5
Q2-2013,95.9
Q3-2013,96.6
Q4-2013,97
Q1-2014,97.2
Q2-2014,97.6
Q3-2014,98.4
Q4-2014,98.8
Q1-2015,99.4
Q2-2015,99.9
Q3-2015,100.2
Q4-2015,100.4
Q1-2016,101
Q2-2016,101.2
Q3-2016,101.7
Q4-2016,102.2
Q1-2017,102.8
Q2-2017,103.4
Q3-2017,104.1
Q4-2017,104.9
Q1-2018,105.3
Q2-2018,106
Q3-2018,106.2
Q4-2018,106.5
Q1-2019,107.1
Q2-2019,107.6
Q3-2019,108.1
Q4-2019,107.9
Q1-2020,105.9
Q2-2020,94.9
Q3-2020,103.8
Q4-2020,104.8
Q1-2021,105.3
Q2-2021,107.2
Q3-2021,108.2
Q4-2021,109.5
Q1-2022,
Q2-2022,
Q3-2022,
Q4-2022,
Q1-2023,
Q2-2023,
Q3-2023,
Q4-2023,
